	error_test	error_train	k
128	380217.44992859015	144278.85866320884	129
129	380010.3464409325	142439.6378169494	130
130	379769.60233512335	140532.85185265995	131
131	379451.7624532231	138795.15983679832	132
132	379088.0435167601	136923.9412852422	133
133	378796.0687797986	135181.59723389757	134
134	378486.70372442063	133441.6445849302	135
135	378210.95260624716	131634.02263183118	136
136	377935.34944828576	129789.13173725287	137
137	377677.8821720122	128052.9135969837	138
138	377414.4616773699	126405.51870100145	139
139	377189.12632009224	124590.94663471065	140
140	376960.2120170228	122925.69448066127	141
141	376717.19054178806	121240.38225809913	142
142	376446.35320684395	119430.72451397905	143
143	376136.5358293705	117714.7592962745	144
144	375917.98702566983	115981.46814819478	145
145	375740.17320237565	114225.16559039589	146
146	375539.67729761027	112455.38366492275	147
147	375285.7134493568	110798.32209259563	148
148	375019.8094829096	109038.51168772118	149
149	374714.230884344	107301.11397340757	150
150	374481.8235276782	105442.26303908565	151
151	374209.4911558832	103670.52370325953	152
152	373966.81514436065	101863.83634489341	153
153	373775.35771214764	100006.84853200031	154
154	373496.7901172129	98343.0870297022	155
155	373320.123777436	96556.12026339823	156
156	373127.77010102815	94865.69303667385	157
157	372917.8341278805	93202.41752892855	158
158	372735.8244078419	91465.30059943092	159
159	372496.63072258735	89683.00064386704	160
160	372328.7072340905	87737.31413385346	161
161	372102.173766696	85878.16591055394	162
162	371900.00938010664	84062.10380226382	163
163	371740.94796086615	82434.71379214838	164
164	371534.04106276575	80727.35025716944	165
165	371358.08459197875	78817.93716373271	166
166	371146.1599095036	76924.4308703629	167
167	370902.6614259672	74962.7202200762	168
168	370717.9645521833	73057.79514174587	169
169	370527.54147408553	71250.91291284791	170
170	370377.828267735	69379.37340249206	171
171	370156.0560623474	67471.39231163386	172
172	369944.50865308614	65550.38353788551	173
173	369739.92181205173	63612.129454369184	174
174	369562.30621443584	61283.926074249015	175
175	369380.7119939284	59350.35702544148	176
176	369140.53937696153	57268.02388614502	177
177	368974.0825966935	55010.96562546537	178
178	368789.941453701	52641.09612345891	179
179	368622.77069279226	50461.85878750992	180
180	368451.3401445887	47992.78575305608	181
181	368231.09078370954	45680.62994269221	182
182	368010.7643300514	43385.17737844934	183
183	367822.394845214	40845.1282404499	184
184	367665.1219169638	38404.94265228488	185
185	367484.3666217094	35869.22386211685	186
186	367254.6858562975	33514.86718502259	187
187	367090.2752072541	30798.618520725606	188
188	366913.29236664786	28139.143156052636	189
189	366747.74304101896	25619.847702345534	190
190	366566.11643038155	22920.90632408174	191
191	366386.35160678806	19820.9234464463	192
192	366243.0023408624	17643.28332098452	193
193	366061.2006696734	15167.989641791792	194
194	365870.2928618522	12202.476867353573	195
195	365674.184318818	9216.441012957806	196
196	365509.7907895228	6597.1531224991395	197
197	365372.3148420113	4307.055445845853	198
198	365170.2575507313	2.0735270244387445e-08	199
199	365161.1269643452	2.0735293935074562e-08	200
200	365149.8741346485	2.073535332468441e-08	201
201	365150.68062376993	2.0735422841758178e-08	202
202	365145.4317374334	2.073524034239074e-08	203
203	365136.2103939075	2.0735328159343082e-08	204
204	365127.3705089694	2.073528571510511e-08	205
205	365140.49363957543	2.073532502322708e-08	206
206	365132.79326241044	2.0735492865997563e-08	207
207	365139.5580605017	2.073565391599675e-08	208
208	365154.86287194304	2.073569956591573e-08	209
209	365182.77454019757	2.0735737762933994e-08	210
210	365202.72129518667	2.0735783168722102e-08	211
211	365237.6529367473	2.0735840977184923e-08	212
212	365285.6882548232	2.0735887743454187e-08	213
213	365293.5276390099	2.073595024871225e-08	214
214	365301.29182888963	2.073591997856425e-08	215
215	365316.3593499909	2.073598617454695e-08	216
216	365312.7583385936	2.0736003200217567e-08	217
217	365315.0846256597	2.0736024274790153e-08	218
218	365325.79625883885	2.0736035162748357e-08	219
219	365351.3198774174	2.0736082565926284e-08	220
220	365344.3640885871	2.073609700198884e-08	221
221	365348.279892108	2.0736094614942318e-08	222
222	365358.04064574896	2.073608118272093e-08	223
223	365378.0503604846	2.0736096621228067e-08	224
224	365405.0850517098	2.07360808956741e-08	225
225	365444.7011942163	2.073608937849623e-08	226
226	365470.1248671195	2.07361024877159e-08	227
227	365504.2970562451	2.0736100419436786e-08	228
228	365519.82404900645	2.073612986194796e-08	229
229	365546.52258522494	2.0736156158367035e-08	230
230	365542.7538391224	2.0736173379492353e-08	231
231	365551.3373819378	2.0736179685219375e-08	232
232	365562.41981610283	2.0736155880821228e-08	233
233	365583.7030513973	2.0736149889162952e-08	234
234	365613.1396050055	2.0736149750074547e-08	235
235	365651.6109433429	2.0736148459347875e-08	236
236	365667.8359077436	2.0736154455402047e-08	237
237	365689.5979094529	2.0736157665976913e-08	238
238	365697.9470844134	2.073615037378976e-08	239
239	365718.9284907214	2.0736149101952107e-08	240
240	365748.6405202928	2.073618082356132e-08	241
241	365757.64529863605	2.0736151924449144e-08	242
242	365773.93206401385	2.0736151656083898e-08	243
243	365801.6368496434	2.073618867179054e-08	244
244	365806.87719031004	2.0736181738696463e-08	245
245	365820.0467375467	2.0736201826715832e-08	246
246	365821.7920512784	2.0736203733204997e-08	247
247	365832.0697961721	2.07361782955034e-08	248
248	365836.84012283984	2.0736189077296295e-08	249
249	365850.12149406254	2.073618684199702e-08	250
250	365867.25564529456	2.0736206251261273e-08	251
251	365893.3092608305	2.0736228204973193e-08	252
252	365897.13414876553	2.0736226659106155e-08	253
253	365907.3051382024	2.073622172674052e-08	254
254	365922.4561689205	2.0736237482089345e-08	255
255	365963.51003157574	2.0736262084742237e-08	256
256	365983.31562713376	2.0733703326051758e-08	257
257	366018.2985099305	2.0733681537524957e-08	258
258	366025.04389966815	2.0733693222692933e-08	259
259	366039.6640139414	2.0733719143034714e-08	260
260	366053.3268440268	2.0733729716595924e-08	261
261	366074.83987803373	2.0733981232434043e-08	262
262	366089.6504457884	2.0734010959580106e-08	263
263	366113.56328554126	2.073399055582249e-08	264
264	366109.78764690197	2.0734008618690022e-08	265
265	366115.2863503536	2.0734003593641287e-08	266
266	366139.51062043326	2.0734009250786787e-08	267
267	366171.73167686316	2.073417417001608e-08	268
268	366178.4521624662	2.0734162563915822e-08	269
269	366195.4983314223	2.07341337956116e-08	270
270	366204.8493283909	2.073412736656132e-08	271
271	366220.14536529745	2.0734216950938586e-08	272
272	366243.7580666349	2.0734219523181066e-08	273
273	366289.5789342127	2.073431445779534e-08	274
274	366308.5579551191	2.0734308701431006e-08	275
275	366336.0470331533	2.073437881844397e-08	276
276	366341.04920324543	2.0734391696717813e-08	277
277	366354.7942385316	2.0734498168188456e-08	278
278	366355.2671375997	2.0734510543505708e-08	279
279	366365.34121087793	2.073436441428784e-08	280
280	366373.92496852344	2.0734361198091067e-08	281
281	366389.82733013213	2.0734468159475644e-08	282
282	366396.62663295626	2.0734472172819918e-08	283
283	366413.7926339869	2.0734534598567893e-08	284
284	366423.9369930866	2.0734516653956136e-08	285
285	366441.28305552865	2.073465295831048e-08	286
286	366466.2684089546	2.0734666492217932e-08	287
287	366502.4664929112	2.07347205477004e-08	288
288	366525.99992401386	2.0734736150417238e-08	289
289	366529.2348796765	2.0734806048300533e-08	290
290	366543.6658099607	2.0734811362500915e-08	291
291	366560.3183281948	2.0734860756990567e-08	292
292	366583.09317168035	2.0734894099133132e-08	293
293	366595.3498335307	2.073498089247737e-08	294
294	366615.6649624974	2.0735000582958574e-08	295
295	366627.5763823596	2.0735091406467083e-08	296
296	366651.2800373152	2.073509690336448e-08	297
297	366659.7887823617	2.0735170733626586e-08	298
298	366675.1634838192	2.073517203303743e-08	299
299	366696.2783416643	2.0735160684135897e-08	300
300	366732.80969768565	2.0735159346673318e-08	301
301	366789.1499167086	2.073530562900172e-08	302
302	366812.17146138963	2.0735326143160044e-08	303
303	366842.70004734263	2.0735505657750934e-08	304
304	366881.3349323229	2.0735538647024602e-08	305
305	366930.5638012759	2.073558424946022e-08	306
306	366939.3355436269	2.0735561532883724e-08	307
307	366956.50503449154	2.073566298434886e-08	308
308	366974.3475979102	2.0735684711376564e-08	309
309	366983.8874017695	2.0735688066729038e-08	310
310	367004.7423696304	2.073569459817412e-08	311
311	367007.9689052918	2.0735789520069256e-08	312
312	367017.5618327888	2.073580052765209e-08	313
313	367023.5814664032	2.0735765623266433e-08	314
314	367037.6635029873	2.0735777187765876e-08	315
315	367040.3320595777	2.0735814457613237e-08	316
316	367050.16060717177	2.0735796709621087e-08	317
317	367056.7404212861	2.0735779379077784e-08	318
318	367066.39268279506	2.0735785043758604e-08	319
319	367085.1182865809	2.0735833210068185e-08	320
320	367090.48675521533	2.0735829700809633e-08	321
321	367105.98426878534	2.0735876644059707e-08	322
322	367116.72714306496	2.0735873256366576e-08	323
323	367134.2239736364	2.0735956767168196e-08	324
324	367142.8643359477	2.0735969636279763e-08	325
325	367158.92934057495	2.0735949522286168e-08	326
326	367181.6597683857	2.0735947423150047e-08	327
327	367213.54214442946	2.073596715633073e-08	328
328	367216.3534083446	2.073600845134333e-08	329
329	367225.49446707417	2.0735879498469598e-08	330
330	367236.66923826415	2.0735881395191003e-08	331
331	367254.82739071694	2.0735979744745653e-08	332
332	367270.2730305566	2.07359886122124e-08	333
333	367293.4277399045	2.073601607000929e-08	334
334	367300.54285643774	2.0736016435360608e-08	335
335	367316.33972740825	2.073600581214434e-08	336
336	367314.9961453126	2.0736022410578014e-08	337
337	367334.44328126294	2.07360342022357e-08	338
338	367371.0198086046	2.0736029281699485e-08	339
339	367423.713635035	2.0736108270497096e-08	340
340	367430.3197884526	2.073613347456371e-08	341
341	367446.52157278656	2.0736160888310053e-08	342
342	367462.64082162606	2.0736159157212146e-08	343
343	367490.010622478	2.0736204927949396e-08	344
344	367493.2219978896	2.0736200592998448e-08	345
345	367502.9256761719	2.0736348790029562e-08	346
346	367518.2284543538	2.073635375550207e-08	347
347	367540.84172267804	2.0736434171226566e-08	348
348	367549.25656395615	2.0736433651932755e-08	349
349	367566.7561312711	2.07364197753621e-08	350
350	367614.71709172946	2.0736407929523235e-08	351
351	367627.52806225093	2.0736417493964887e-08	352
352	367647.9294895155	2.073643267650177e-08	353
353	367647.36881763616	2.073655087359028e-08	354
354	367652.55537836824	2.0736562316400054e-08	355
355	367653.9946467395	2.0736684010842592e-08	356
356	367661.6132897835	2.0736678698903004e-08	357
357	367667.8177144899	2.0736643059270083e-08	358
358	367682.93742174946	2.073666500690591e-08	359
359	367693.4259335989	2.0736637403602387e-08	360
360	367713.67210363696	2.0736617144490304e-08	361
361	367732.62389278517	2.0736549548198768e-08	362
362	367759.53602719796	2.0736548067052416e-08	363
363	367763.328265297	2.0736729103678966e-08	364
364	367776.9227464906	2.0736725847921184e-08	365
365	367783.0127782251	2.07367262862944e-08	366
366	367797.7766752118	2.0736739795081712e-08	367
367	367815.48433132283	2.0736794366254865e-08	368
368	367844.50051162613	2.0736829031718582e-08	369
369	367851.40530765685	2.0736792488279804e-08	370
370	367866.79353959195	2.0736790702992607e-08	371
371	367885.18937527156	2.0736915328496577e-08	372
372	367910.4672350103	2.0736909903354464e-08	373
373	367921.4016105584	2.073702464537844e-08	374
374	367942.46881767974	2.073703112845266e-08	375
375	367978.7503165344	2.073703171706714e-08	376
376	367986.696353785	2.0737024108525018e-08	377
377	368003.49287194485	2.0737051844043188e-08	378
378	368017.7429226353	2.073844300077943e-08	379
379	368041.1248162217	2.073856595979779e-08	380
380	368052.4667055107	2.073857166770472e-08	381
381	368071.7480728572	2.0738583868869616e-08	382
382	368084.0383859051	2.073859645083912e-08	383
383	368104.6649789175	2.0738511099308384e-08	384
384	368149.9483837452	2.0738508520592925e-08	385
385	368162.02999336075	2.0738506799477893e-08	386
386	368183.6506471026	2.0738505583090912e-08	387
387	368196.55894054845	2.073850873046594e-08	388
388	368216.26120170933	2.073854730438773e-08	389
389	368246.38418197096	2.073857214565889e-08	390
390	368286.6699154634	2.0738609786510143e-08	391
391	368294.37245160644	2.0738710935374726e-08	392
392	368309.65322819987	2.0738720160287196e-08	393
393	368311.03496759536	2.0738731250716774e-08	394
394	368320.9540512066	2.0738727973304146e-08	395
395	368336.80494922807	2.0738780715133407e-08	396
396	368361.13081848924	2.0738735709089476e-08	397
397	368393.4330425819	2.0738736961978855e-08	398
398	368447.890370163	2.073870777566078e-08	399
399	368463.1212483591	2.0738616017950565e-08	400
400	368487.02324639936	2.0738660518794136e-08	401
401	368550.2462112612	2.0738691377145895e-08	402
402	368564.44625742035	2.0738710987076675e-08	403
403	368587.8098891878	2.0738736414303726e-08	404
404	368618.8042738145	2.0738766010529277e-08	405
405	368635.85421742353	2.0738793905913796e-08	406
406	368660.4676606632	2.073884286787942e-08	407
407	368681.7959648434	2.073878730386475e-08	408
408	368712.43438432616	2.073877095245356e-08	409
409	368717.63252702984	2.0738775773035443e-08	410
410	368731.05856976553	2.0738828021862333e-08	411
411	368750.27473756985	2.073883321010518e-08	412
412	368778.1548204042	2.0738908896580482e-08	413
413	368803.2971548849	2.0738934279360032e-08	414
414	368851.3889632566	2.0738947533028256e-08	415
415	368879.3989036549	2.0738967323803302e-08	416
416	368916.5864136795	2.073900532814472e-08	417
417	368929.05502930435	2.0739015702145903e-08	418
418	368948.6007214632	2.073899098533454e-08	419
419	369013.33512084483	2.0738983680878834e-08	420
420	369029.19883791474	2.0738992987438014e-08	421
421	369055.3566834854	2.0739035434881484e-08	422
422	369056.099393083	2.0739063037256643e-08	423
423	369068.23603035347	2.0739004356740498e-08	424
424	369073.36993681086	2.0739008505280323e-08	425
425	369085.81234467163	2.0739009261179153e-08	426
426	369093.7867182641	2.0739039077084568e-08	427
427	369109.70072348486	2.0739046537304398e-08	428
428	369190.4054768784	2.0739058138797462e-08	429
429	369211.8032696529	2.0739127613010336e-08	430
430	369242.16012759705	2.073916534922342e-08	431
431	369263.63188578625	2.0739224458279407e-08	432
432	369295.5969149343	2.0739256158170294e-08	433
433	369366.488287268	2.0739415946774036e-08	434
434	369461.1529153491	2.073946592996113e-08	435
435	369478.97042028536	2.0739472108053276e-08	436
436	369505.3876408638	2.0739488697114238e-08	437
437	369511.2525537892	2.0739481547803314e-08	438
438	369523.63709466555	2.0739457662103263e-08	439
439	369562.1376072173	2.073945742394785e-08	440
440	369611.47962873674	2.0739433542983963e-08	441
441	369632.0246883385	2.0739417279291242e-08	442
442	369659.8287944979	2.0739447917780373e-08	443
443	369684.24701649474	2.0739486061978874e-08	444
444	369717.9961516205	2.0739453492715472e-08	445
445	369747.9272500149	2.073946539932946e-08	446
446	369789.5405543784	2.0739459693549865e-08	447
447	369808.3525190021	2.073951007201571e-08	448
448	369834.32268717256	2.073952768907308e-08	449
449	369860.12567515613	2.0739569455926513e-08	450
450	369876.7769728907	2.0739570293690163e-08	451
451	369907.29477844056	2.0739559544238558e-08	452
452	369948.028713	2.0739589516545087e-08	453
453	369999.44343957247	2.0739562635309106e-08	454
454	370023.5389400935	2.0739579858024487e-08	455
455	370054.7582735292	2.0739674499916868e-08	456
456	370078.5841876535	2.0739659463656928e-08	457
457	370110.07737937965	2.0739744517290926e-08	458
458	370117.15759909066	2.073972481527232e-08	459
459	370131.50544620166	2.0739755524048e-08	460
460	370141.7198788001	2.0739727362330137e-08	461
461	370158.98459526733	2.0739781045660805e-08	462
462	370168.7729863585	2.0739791364496116e-08	463
463	370185.7468096614	2.0739784337593504e-08	464
464	370189.1201872767	2.0739745367929484e-08	465
465	370199.4391683998	2.0739815897796197e-08	466
466	370209.2852606993	2.073989460963798e-08	467
467	370229.2085813772	2.073990587342867e-08	468
468	370237.7898220784	2.0739925926401667e-08	469
469	370254.3459361739	2.073988816974171e-08	470
470	370261.8957265641	2.073992871837296e-08	471
471	370276.11430416035	2.0739929199564813e-08	472
472	370272.1815380077	2.0739904105920922e-08	473
473	370283.17496891075	2.0739925885896574e-08	474
474	370284.32677455375	2.0739941768697352e-08	475
475	370292.8464707822	2.0739990380665513e-08	476
476	370303.37170151324	2.0739999864970943e-08	477
477	370323.4096712199	2.0740001974815033e-08	478
478	370324.736762973	2.0739977363392568e-08	479
479	370333.75804869767	2.073998330206572e-08	480
480	370338.51857623656	2.0739984364230488e-08	481
481	370355.57938230317	2.0740001446763772e-08	482
482	370373.73815136263	2.073999610237616e-08	483
483	370401.33701650007	2.074006541345138e-08	484
484	370427.1157140637	2.074006210377432e-08	485
485	370464.32771508396	2.0740051601799468e-08	486
486	370480.53861885687	2.07400774477764e-08	487
487	370507.32139345334	2.0740050158235855e-08	488
488	370518.96154969395	2.0740102517504194e-08	489
489	370537.7543836731	2.074011644802294e-08	490
490	370556.87670082354	2.074014180751065e-08	491
491	370583.9950396656	2.074008502953229e-08	492
492	370592.35196131666	2.074011116458527e-08	493
493	370610.3379953733	2.0740147064552672e-08	494
494	370625.3105236626	2.0740157970082277e-08	495
495	370648.3910498647	2.07401984791409e-08	496
496	370665.624320679	2.07402227808104e-08	497
497	370692.22021125443	2.074021565587611e-08	498
498	370706.58228120307	2.074023772191736e-08	499
